Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Laranjeiras;2;0;0;80;1650.0;900.0;80.0
Recreio dos Bandeirantes;2;2;2;79;1500.0;1002.0;0.0
Barra da Tijuca;3;1;1;87;1900.0;1302.0;0.0
Barra da Tijuca;3;1;1;82;2500.0;1230.0;269.0
Portuguesa;3;0;1;106;1800.0;650.0;0.0
Recreio dos Bandeirantes;3;2;1;104;2200.0;1128.0;196.0
Vila da Penha;2;1;0;85;1100.0;300.0;0.0
Barra da Tijuca;2;1;0;71;1600.0;1204.0;212.0
Pechincha;2;1;0;78;1100.0;570.0;18.0
Recreio dos Bandeirantes;2;1;1;76;1800.0;811.0;120.0
Santa Teresa;3;1;0;148;2600.0;1430.0;0.0
Barra da Tijuca;2;1;1;82;2100.0;1350.0;1100.0
Barra da Tijuca;3;2;1;77;1700.0;1200.0;2031.0
Jacarepaguá;3;1;2;73;1700.0;650.0;61.0
Méier;2;1;0;78;1300.0;390.0;33.0
Recreio dos Bandeirantes;4;2;3;122;2300.0;1330.0;257.0
Tijuca;2;1;0;76;2100.0;1033.0;124.0
Grajaú;3;1;1;122;2250.0;1045.0;0.0
São Conrado;2;1;1;100;2300.0;1050.0;170.0
Tijuca;4;2;1;125;2950.0;1530.0;197.0
Tijuca;3;1;1;120;1800.0;1188.0;170.0
Cachambi;2;0;0;75;900.0;200.0;0.0
Recreio dos Bandeirantes;2;1;1;108;1600.0;708.0;0.0
Recreio dos Bandeirantes;2;2;1;82;1990.0;700.0;184.0
Recreio dos Bandeirantes;2;1;1;75;2000.0;676.0;131.0
Recreio dos Bandeirantes;4;2;2;153;2000.0;1414.0;352.0
Barra da Tijuca;3;1;0;72;2200.0;600.0;0.0
Barra da Tijuca;2;1;2;94;2200.0;950.0;240.0
Freguesia (Jacarepaguá);3;2;2;120;1800.0;1107.0;190.0
Grajaú;3;1;1;85;1450.0;407.0;0.0
Recreio dos Bandeirantes;2;1;1;97;1800.0;1100.0;140.0
Barra da Tijuca;3;2;1;113;2800.0;1550.0;180.0
Laranjeiras;3;1;1;127;2500.0;962.0;0.0
Tijuca;3;0;0;90;1800.0;873.0;75.0
Tijuca;4;2;1;188;2000.0;2000.0;309.0
Tijuca;2;1;0;112;1800.0;335.0;134.0
Jacarepaguá;2;0;1;73;1000.0;543.0;58.0
Tanque;3;2;2;91;1200.0;525.0;106.0
Olaria;2;1;0;74;900.0;605.0;0.0
Barra da Tijuca;3;2;1;100;2200.0;1600.0;350.0
Copacabana;2;0;0;80;2000.0;800.0;150.0
Recreio dos Bandeirantes;2;1;0;94;1500.0;1045.0;0.0
Tijuca;2;1;0;75;2000.0;590.0;75.0
Taquara;2;1;1;120;2320.0;540.0;350.0
Recreio dos Bandeirantes;3;0;0;85;2600.0;850.0;0.0
Bonsucesso;3;0;1;82;1500.0;470.0;0.0
Tijuca;2;1;1;103;2600.0;550.0;150.0
Tijuca;3;2;1;132;2800.0;1216.0;200.0
Lagoa;2;0;0;90;2100.0;1800.0;400.0
Recreio dos Bandeirantes;3;2;1;110;1800.0;577.0;157.0
Laranjeiras;3;0;1;120;2200.0;600.0;0.0
Barra da Tijuca;2;1;1;90;2950.0;1430.0;200.0
Camorim;4;2;2;230;2400.0;818.0;305.0
Recreio dos Bandeirantes;2;1;1;84;2150.0;430.0;0.0
Barra da Tijuca;3;1;1;90;1900.0;1200.0;98.0
Copacabana;3;1;0;122;2700.0;1402.0;187.0
Vila Valqueire;3;1;1;92;1800.0;355.0;0.0
Jacarepaguá;2;1;1;131;2500.0;1000.0;180.0
Engenho de Dentro;2;1;1;73;1200.0;731.0;13.0
Barra da Tijuca;2;1;1;75;1550.0;790.0;0.0
Tijuca;2;1;0;90;2800.0;800.0;70.0
Barra da Tijuca;2;1;1;85;2200.0;1150.0;255.0
Copacabana;3;0;1;156;2500.0;984.0;248.0
Recreio dos Bandeirantes;2;1;2;95;1800.0;764.0;95.0
Grajaú;2;1;1;75;1200.0;840.0;71.0
Recreio dos Bandeirantes;2;1;2;80;1300.0;1033.0;140.0
Copacabana;2;0;0;71;2800.0;855.0;136.0
Copacabana;3;0;1;90;2350.0;1237.0;123.0
Maracanã;2;0;0;78;1900.0;768.0;79.0
Recreio dos Bandeirantes;3;2;1;90;1600.0;1276.0;200.0
Tijuca;3;2;0;126;2000.0;550.0;1100.0
Barra da Tijuca;2;1;1;75;2300.0;816.0;224.0
Recreio dos Bandeirantes;2;1;1;97;1900.0;1100.0;140.0
Recreio dos Bandeirantes;3;2;2;180;2600.0;900.0;442.0
Leme;2;0;0;75;2400.0;878.0;0.0
Cachambi;2;1;1;75;1300.0;300.0;37.0
Barra da Tijuca;2;1;1;90;2200.0;1400.0;0.0
Recreio dos Bandeirantes;3;2;2;92;1650.0;900.0;0.0
Recreio dos Bandeirantes;3;1;1;97;2650.0;875.0;205.0
Tijuca;3;0;1;75;2300.0;600.0;150.0
Recreio dos Bandeirantes;3;1;1;103;1700.0;1322.0;0.0
Barra da Tijuca;2;1;1;77;1200.0;1277.0;0.0
Penha Circular;2;1;0;75;1300.0;490.0;0.0
Recreio dos Bandeirantes;2;1;1;120;2000.0;1600.0;3500.0
Tijuca;3;1;1;99;1800.0;710.0;0.0
Bonsucesso;2;0;0;100;900.0;484.0;0.0
Barra da Tijuca;3;2;1;172;2300.0;1600.0;450.0
Catete;2;1;0;71;2200.0;725.0;109.0
Pechincha;3;1;0;86;1000.0;670.0;84.0
Santa Teresa;2;1;0;80;1500.0;738.0;230.0
Barra da Tijuca;2;2;1;90;2800.0;1000.0;100.0
Barra da Tijuca;3;2;1;120;2900.0;1800.0;0.0
Tijuca;3;0;1;110;2500.0;700.0;150.0
Barra da Tijuca;2;1;1;74;2600.0;1330.0;220.0
Recreio dos Bandeirantes;3;3;1;111;1700.0;904.0;0.0
Copacabana;2;0;0;80;2200.0;680.0;173.0
Vila Isabel;2;1;0;75;1500.0;460.0;90.0
Botafogo;3;1;1;108;2800.0;1160.0;236.0
Recreio dos Bandeirantes;3;0;1;106;2500.0;780.0;250.0
Tijuca;3;2;1;120;2580.0;926.0;187.0
Vila Isabel;2;1;0;80;1400.0;626.0;51.0
Barra da Tijuca;3;2;1;172;2300.0;1600.0;450.0
Barra da Tijuca;2;1;2;80;2400.0;1300.0;1800.0
Tijuca;3;1;1;81;1750.0;596.0;89.0
Barra da Tijuca;2;1;1;78;2100.0;890.0;140.0
Barra da Tijuca;2;1;1;90;2800.0;1100.0;120.0
Barra da Tijuca;3;2;1;140;2300.0;1600.0;450.0
Barra da Tijuca;2;1;1;100;2600.0;1700.0;233.0
Glória;2;0;0;112;2300.0;782.0;194.0
Jardim Guanabara;3;1;1;90;2000.0;380.0;998.0
Estácio;2;1;0;72;1300.0;790.0;0.0
Cachambi;3;1;1;84;1350.0;739.0;14.0
Andaraí;2;2;1;88;1800.0;680.0;100.0
Maracanã;3;1;1;81;2000.0;600.0;89.0
Barra da Tijuca;2;1;1;95;2600.0;1800.0;280.0
Copacabana;2;1;0;127;2500.0;1131.0;252.0
Glória;3;0;0;92;2500.0;470.0;0.0
Humaitá;3;1;0;84;1800.0;1500.0;0.0
Freguesia (Jacarepaguá);4;3;2;261;2800.0;2532.0;4442.0
Recreio dos Bandeirantes;3;1;1;82;1400.0;861.0;0.0
Barra da Tijuca;2;1;1;84;2700.0;1282.0;0.0
Copacabana;2;0;0;100;2400.0;940.0;0.0
Barra da Tijuca;2;1;1;72;2100.0;1200.0;230.0
Botafogo;2;1;1;90;2000.0;1200.0;125.0
Recreio dos Bandeirantes;3;1;1;90;2100.0;750.0;1386.0
Vila Isabel;2;0;0;71;1100.0;525.0;21.0
Taquara;2;1;0;80;800.0;450.0;50.0
Barra da Tijuca;2;1;1;98;2900.0;1080.0;166.0
Ilha do Governador;2;1;0;72;1500.0;650.0;0.0
Recreio dos Bandeirantes;3;2;2;100;2200.0;670.0;211.0
Copacabana;3;0;0;125;2900.0;820.0;134.0
Barra da Tijuca;2;1;0;100;2500.0;1715.0;339.0
Recreio dos Bandeirantes;2;1;1;85;1800.0;908.0;160.0
Recreio dos Bandeirantes;3;2;1;140;2900.0;1480.0;226.0
Vila Valqueire;3;2;1;110;1700.0;650.0;110.0
Rio Comprido;3;2;1;110;1900.0;890.0;86.0
Copacabana;2;0;0;75;2750.0;800.0;35.0
Recreio dos Bandeirantes;3;1;1;73;1500.0;984.0;115.0
Recreio dos Bandeirantes;3;2;3;160;2600.0;1100.0;0.0
Engenho de Dentro;2;0;0;90;1100.0;320.0;13.0
Santa Teresa;2;0;0;80;1800.0;627.0;0.0
Cachambi;2;1;1;88;1400.0;460.0;0.0
Barra da Tijuca;2;1;1;88;2750.0;1110.0;268.0
Penha Circular;3;1;2;80;1500.0;650.0;656.0
Recreio dos Bandeirantes;3;2;2;103;2500.0;500.0;250.0
Tijuca;3;0;0;80;1700.0;500.0;50.0
Barra da Tijuca;2;1;0;85;1800.0;1152.0;235.0
Centro;3;1;0;100;2400.0;650.0;66.0
Freguesia (Jacarepaguá);3;2;2;96;2100.0;800.0;120.0
Tijuca;2;0;0;90;1750.0;725.0;30.0
Tijuca;2;0;0;80;1600.0;690.0;23.0
Braz de Pina;4;2;1;121;2300.0;600.0;0.0
Copacabana;3;1;0;78;2500.0;932.0;175.0
Cachambi;2;2;1;80;1000.0;360.0;16.0
Copacabana;2;0;0;110;2500.0;1042.0;120.0
Vila Isabel;2;1;0;75;1200.0;600.0;0.0
Irajá;2;1;0;81;1000.0;335.0;30.0
Barra da Tijuca;2;1;1;84;2500.0;2085.0;265.0
Jardim Guanabara;2;1;1;100;2500.0;500.0;0.0
Vila da Penha;2;1;2;90;2500.0;710.0;0.0
Humaitá;2;1;1;75;2500.0;1350.0;0.0
Jacarepaguá;3;1;1;76;1800.0;860.0;1006.0
Barra da Tijuca;3;1;1;85;2200.0;683.0;90.0
Flamengo;2;0;0;72;2500.0;578.0;191.0
Tijuca;3;1;1;85;2100.0;630.0;116.0
Jardim Guanabara;2;1;1;86;1800.0;405.0;93.0
Pechincha;2;1;0;77;1300.0;504.0;72.0
Maracanã;3;1;1;110;2000.0;715.0;0.0
Recreio dos Bandeirantes;3;2;1;120;2200.0;520.0;216.0
Barra da Tijuca;3;1;1;82;2200.0;830.0;0.0
Vila da Penha;3;1;1;80;1300.0;250.0;0.0
Recreio dos Bandeirantes;3;3;1;100;2950.0;850.0;0.0
Tijuca;2;1;1;86;1200.0;534.0;96.0
Barra da Tijuca;2;1;1;86;2600.0;1478.0;151.0
Recreio dos Bandeirantes;2;1;1;80;2000.0;650.0;84.0
Maracanã;2;1;1;90;2600.0;787.0;179.0
Barra da Tijuca;2;1;1;90;2800.0;1202.0;266.0
Tijuca;2;1;1;85;1700.0;780.0;100.0
Recreio dos Bandeirantes;2;0;0;73;1700.0;750.0;150.0
Tijuca;2;1;0;97;2300.0;835.0;104.0
Anil;3;1;1;78;2000.0;738.0;0.0
Tijuca;2;1;0;86;1900.0;722.0;149.0
Tijuca;3;0;0;84;1700.0;790.0;1830.0
Recreio dos Bandeirantes;3;1;1;82;2000.0;800.0;150.0
Anil;2;1;1;83;1600.0;464.0;0.0
Jacarepaguá;2;1;1;80;1600.0;787.0;89.0
Flamengo;3;0;0;98;2550.0;850.0;196.0
Cachambi;3;2;1;89;1750.0;890.0;80.0
Recreio dos Bandeirantes;3;2;1;86;1700.0;715.0;193.0
Méier;3;2;1;128;1850.0;1055.0;174.0
Tijuca;3;0;1;91;2800.0;450.0;0.0
Recreio dos Bandeirantes;2;1;1;73;2000.0;700.0;0.0
Barra da Tijuca;3;2;1;95;1600.0;1250.0;0.0
Recreio dos Bandeirantes;2;1;2;95;1800.0;730.0;165.0
Flamengo;2;1;0;80;2500.0;970.0;115.0
Freguesia (Jacarepaguá);3;1;1;90;2500.0;680.0;0.0
Copacabana;2;0;0;83;2700.0;599.0;171.0
Recreio dos Bandeirantes;3;2;1;114;2800.0;620.0;250.0
Maracanã;3;2;1;90;2800.0;810.0;107.0
Copacabana;2;0;0;80;2500.0;780.0;225.0
Barra da Tijuca;3;1;1;80;2500.0;1238.0;194.0
Recreio dos Bandeirantes;3;3;1;125;2100.0;1055.0;380.0
Recreio dos Bandeirantes;2;1;1;85;1200.0;850.0;1000.0
Copacabana;3;0;0;120;2600.0;1189.0;154.0
Andaraí;2;1;1;77;1400.0;650.0;105.0
Barra da Tijuca;2;1;1;81;1700.0;1150.0;150.0
Recreio dos Bandeirantes;3;3;3;183;2700.0;760.0;5000.0
Cachambi;3;1;0;100;1550.0;650.0;59.0
Tijuca;3;1;0;73;1900.0;638.0;0.0
Copacabana;3;1;0;101;2200.0;1470.0;220.0
Tijuca;2;0;0;71;1620.0;300.0;0.0
Tijuca;2;1;0;90;1500.0;800.0;78.0
Rio Comprido;2;0;1;110;1200.0;300.0;0.0
Copacabana;2;1;0;72;2250.0;800.0;40.0
Freguesia (Jacarepaguá);2;1;1;76;1900.0;720.0;123.0
Curicica;3;1;1;85;1700.0;560.0;150.0
Botafogo;3;0;0;157;2700.0;970.0;200.0
Freguesia (Jacarepaguá);2;2;1;128;2700.0;1000.0;240.0
Flamengo;2;0;0;88;1900.0;450.0;112.0
Pechincha;4;1;2;178;1900.0;1100.0;270.0
Freguesia (Jacarepaguá);2;0;0;80;1300.0;395.0;48.0
Copacabana;3;0;0;120;2700.0;800.0;0.0
Freguesia (Jacarepaguá);2;1;1;77;1800.0;720.0;0.0
Tijuca;2;0;0;80;1300.0;855.0;0.0
Barra da Tijuca;2;1;1;92;2600.0;1250.0;0.0
Vila Isabel;2;0;0;80;1500.0;330.0;0.0
Barra da Tijuca;2;1;1;90;2250.0;1107.0;221.0
Flamengo;3;1;1;110;2950.0;1200.0;0.0
Tijuca;3;1;0;100;2200.0;935.0;0.0
Recreio dos Bandeirantes;2;2;1;109;2500.0;500.0;275.0
Recreio dos Bandeirantes;3;1;0;85;1800.0;1250.0;190.0
Recreio dos Bandeirantes;2;2;1;200;2800.0;1600.0;0.0
Cachambi;2;0;0;75;1350.0;350.0;35.0
Tijuca;3;1;1;120;2200.0;900.0;1520.0
Vila Isabel;3;1;1;98;1300.0;529.0;101.0
Barra da Tijuca;2;1;1;82;2500.0;1300.0;0.0
Engenho Novo;2;0;0;89;1050.0;250.0;24.0
Vila Isabel;2;0;1;80;1100.0;850.0;0.0
Cordovil;2;1;1;85;1300.0;440.0;0.0
Copacabana;2;0;0;80;2700.0;690.0;177.0
Recreio dos Bandeirantes;2;2;1;180;1800.0;1232.0;328.0
Vila Isabel;3;1;0;71;1800.0;630.0;70.0
Barra da Tijuca;3;1;1;72;2100.0;660.0;110.0
Lagoa;2;1;1;85;2800.0;860.0;203.0
Centro;2;0;0;80;1200.0;511.0;0.0
Méier;3;1;1;71;1000.0;836.0;39.0
Laranjeiras;4;0;0;101;2300.0;767.0;0.0
Piedade;3;0;0;85;850.0;200.0;13.0
Recreio dos Bandeirantes;3;2;1;160;2550.0;1050.0;0.0
Tijuca;3;0;1;90;2300.0;650.0;100.0
Praça Seca;3;1;2;123;1400.0;700.0;0.0
Andaraí;2;1;0;72;1500.0;470.0;0.0
Rocha;2;1;0;79;1100.0;543.0;0.0
Recreio dos Bandeirantes;3;2;1;90;2000.0;715.0;134.0
Recreio dos Bandeirantes;3;2;3;91;2500.0;780.0;180.0
Barra da Tijuca;2;1;1;99;2000.0;780.0;185.0
Recreio dos Bandeirantes;3;2;1;102;2000.0;640.0;247.0
Tijuca;3;1;1;74;2500.0;882.0;119.0
Barra da Tijuca;2;1;1;95;2200.0;1100.0;268.0
Copacabana;3;0;0;103;2500.0;1344.0;164.0
Recreio dos Bandeirantes;3;1;2;84;2200.0;860.0;141.0
Campo Grande;2;0;1;92;1000.0;1200.0;34.0
Praça Seca;3;0;0;85;1300.0;370.0;135.0
Jardim Botânico;3;1;0;90;2500.0;1150.0;1400.0
Freguesia (Jacarepaguá);2;1;1;76;1600.0;705.0;0.0
Barra da Tijuca;3;2;1;126;2800.0;1500.0;233.0
Copacabana;2;0;0;111;2600.0;1165.0;0.0
Praça da Bandeira;2;0;0;84;1000.0;610.0;90.0
Andaraí;3;0;0;86;1800.0;360.0;105.0
Recreio dos Bandeirantes;3;2;1;90;1800.0;505.0;0.0
Barra da Tijuca;3;1;1;80;2800.0;1300.0;140.0
Vila Isabel;2;1;0;76;1300.0;540.0;20.0
Barra da Tijuca;2;1;1;72;1500.0;750.0;550.0
Recreio dos Bandeirantes;2;1;1;87;1700.0;650.0;0.0
Recreio dos Bandeirantes;3;2;0;133;2190.0;1004.0;0.0
Campo Grande;3;1;1;165;2000.0;700.0;0.0
Barra da Tijuca;2;1;1;75;2400.0;1061.0;216.0
Pechincha;3;1;0;73;1400.0;550.0;78.0
Méier;2;1;0;79;1500.0;613.0;52.0
Recreio dos Bandeirantes;3;2;1;194;1900.0;2120.0;319.0
Cosme Velho;2;1;0;85;2400.0;760.0;143.0
Freguesia (Jacarepaguá);2;1;1;80;1200.0;813.0;92.0
Copacabana;2;1;0;80;2500.0;646.0;0.0
Flamengo;2;0;0;76;2000.0;795.0;98.0
Freguesia (Jacarepaguá);3;2;3;166;2500.0;1600.0;200.0
Recreio dos Bandeirantes;3;1;1;80;2500.0;600.0;0.0
Barra da Tijuca;2;1;1;80;2800.0;880.0;0.0
Méier;2;1;1;85;1700.0;840.0;1318.0
Recreio dos Bandeirantes;2;1;1;75;1800.0;770.0;0.0
Tijuca;2;1;1;75;1900.0;598.0;0.0
Camorim;2;0;2;85;1900.0;1118.0;0.0
Tijuca;3;1;1;90;2000.0;980.0;0.0
Grajaú;2;1;0;90;1550.0;660.0;0.0
Freguesia (Jacarepaguá);3;1;1;92;1900.0;945.0;157.0
Freguesia (Jacarepaguá);2;1;0;84;1500.0;750.0;20.0
Recreio dos Bandeirantes;2;2;1;81;1500.0;415.0;190.0
Leme;2;1;1;82;2600.0;914.0;128.0
Méier;3;2;1;126;1800.0;1470.0;172.0
Leme;2;0;0;75;2700.0;878.0;0.0
Freguesia (Jacarepaguá);2;1;1;86;1800.0;831.0;0.0
Recreio dos Bandeirantes;3;3;3;178;2700.0;690.0;5000.0
Copacabana;3;0;1;115;2900.0;1900.0;190.0
Recreio dos Bandeirantes;2;1;1;100;2800.0;899.0;250.0
Recreio dos Bandeirantes;3;1;1;88;2100.0;1050.0;180.0
Flamengo;3;1;0;85;2500.0;950.0;154.0
Recreio dos Bandeirantes;2;2;1;85;2400.0;500.0;0.0
Barra da Tijuca;2;1;1;80;2000.0;1172.0;75.0
Leme;2;1;1;80;2700.0;835.0;217.0
Jardim Botânico;2;1;1;71;2000.0;954.0;213.0
Barra da Tijuca;3;2;3;120;2800.0;1280.0;360.0
Recreio dos Bandeirantes;2;1;1;78;1500.0;770.0;108.0
Recreio dos Bandeirantes;3;2;3;120;2300.0;800.0;3021.0
Tijuca;3;1;0;86;1900.0;675.0;110.0
Copacabana;2;0;0;81;2380.0;400.0;0.0
Jacarepaguá;2;1;1;75;1450.0;650.0;75.0
Recreio dos Bandeirantes;3;3;2;170;2000.0;853.0;100.0
Praça da Bandeira;2;1;0;81;2200.0;945.0;94.0
Barra da Tijuca;2;1;1;72;2600.0;797.0;672.0
Barra da Tijuca;2;1;1;80;2100.0;1165.0;114.0
Barra da Tijuca;2;2;1;83;2300.0;983.0;348.0
Flamengo;2;1;1;80;2900.0;700.0;128.0
Jardim Botânico;2;2;1;74;2950.0;1423.0;251.0
Laranjeiras;3;0;0;80;2200.0;330.0;89.0
Vila Isabel;2;1;0;87;1600.0;503.0;20.0
Barra da Tijuca;2;1;1;82;2000.0;1220.0;190.0
Barra da Tijuca;2;2;1;86;1900.0;1300.0;115.0
Taquara;3;1;1;85;1200.0;720.0;108.0
Irajá;2;1;0;91;900.0;340.0;0.0
Recreio dos Bandeirantes;2;1;1;88;1600.0;740.0;143.0
Barra da Tijuca;2;1;1;71;1900.0;490.0;80.0
Tijuca;3;1;1;115;2500.0;1200.0;0.0
Pechincha;3;2;1;108;1300.0;798.0;116.0
Barra da Tijuca;2;1;1;89;2300.0;1450.0;205.0
Recreio dos Bandeirantes;2;1;1;71;2000.0;550.0;0.0
Bonsucesso;3;0;0;81;1600.0;630.0;0.0
Méier;2;1;0;75;800.0;597.0;0.0
Anil;4;2;1;149;2100.0;1340.0;1206.0
Pechincha;2;1;0;80;1000.0;380.0;0.0
Recreio dos Bandeirantes;3;1;1;73;2200.0;769.0;165.0
Laranjeiras;2;1;1;88;2500.0;837.0;188.0
Barra da Tijuca;2;2;1;105;1500.0;2115.0;0.0
Jardim Botânico;3;0;1;110;2700.0;1500.0;0.0
Barra da Tijuca;3;1;1;96;2800.0;980.0;90.0
Usina;3;1;1;94;1700.0;860.0;77.0
Flamengo;2;0;0;90;2750.0;750.0;200.0
Recreio dos Bandeirantes;2;1;1;100;2200.0;915.0;0.0
Tijuca;2;1;0;80;2300.0;662.0;0.0
Jardim Botânico;2;1;1;80;2900.0;1350.0;160.0
Grajaú;2;1;1;110;1800.0;1100.0;150.0
Barra da Tijuca;2;1;1;78;2000.0;850.0;202.0
Urca;2;0;0;80;2600.0;530.0;84.0
Pechincha;3;1;1;76;1500.0;700.0;800.0
Copacabana;3;0;0;110;2700.0;1000.0;20.0
Flamengo;2;0;0;75;2500.0;577.0;160.0
Leme;2;0;0;87;2600.0;720.0;203.0
Recreio dos Bandeirantes;2;1;0;75;1800.0;950.0;0.0
Tijuca;3;1;1;140;2800.0;1260.0;0.0
Leme;3;1;0;97;2800.0;1053.0;187.0
Ilha do Governador;2;1;0;140;1450.0;250.0;12.0
Leme;2;0;0;75;2700.0;878.0;0.0
Laranjeiras;2;1;0;80;2300.0;719.0;93.0
Barra da Tijuca;2;1;1;85;2500.0;1078.0;169.0
Recreio dos Bandeirantes;2;3;1;90;2500.0;877.0;465.0
Ilha do Governador;3;2;1;120;2700.0;515.0;123.0
Recreio dos Bandeirantes;2;1;1;89;1700.0;908.0;160.0
Recreio dos Bandeirantes;3;1;1;81;2600.0;600.0;145.0
Tijuca;3;1;0;77;2100.0;762.0;91.0
Catete;2;1;0;71;2200.0;725.0;109.0
Recreio dos Bandeirantes;3;2;3;86;2500.0;1250.0;3197.0
Tijuca;3;0;0;110;1500.0;680.0;85.0
Jardim Guanabara;3;2;1;200;1950.0;560.0;195.0
Copacabana;2;1;0;80;2800.0;850.0;120.0
Glória;2;0;0;90;2100.0;800.0;131.0
Tijuca;2;1;0;75;2300.0;500.0;0.0
Botafogo;2;0;1;82;2600.0;830.0;0.0
Laranjeiras;3;0;0;108;2600.0;900.0;0.0
Campo Grande;2;0;1;75;1000.0;350.0;0.0
Taquara;3;1;2;90;2500.0;590.0;0.0
Copacabana;2;0;0;84;2800.0;682.0;115.0
Recreio dos Bandeirantes;3;2;1;85;1800.0;1200.0;0.0
Barra da Tijuca;2;1;1;74;2800.0;1260.0;216.0
Recreio dos Bandeirantes;3;0;1;90;1900.0;590.0;2321.0
Barra da Tijuca;2;1;1;93;2600.0;800.0;225.0
Copacabana;2;1;0;74;2950.0;1150.0;137.0
Jacarepaguá;3;1;1;85;1700.0;680.0;89.0
Barra da Tijuca;2;1;0;78;2400.0;1200.0;77.0
Recreio dos Bandeirantes;2;1;1;98;2000.0;711.0;0.0
Pitangueiras;3;2;1;154;1700.0;750.0;251.0
Barra da Tijuca;3;2;1;114;1500.0;1413.0;0.0
Barra da Tijuca;2;1;1;90;2100.0;1490.0;1361.0
Jacarepaguá;2;1;1;74;1700.0;688.0;0.0
Barra da Tijuca;2;2;1;180;2300.0;1600.0;0.0
Barra da Tijuca;2;1;1;82;1800.0;840.0;110.0
Recreio dos Bandeirantes;2;1;1;76;1800.0;600.0;100.0
Lins de Vasconcelos;2;1;0;80;1000.0;630.0;150.0
Recreio dos Bandeirantes;4;2;3;297;2300.0;3459.0;0.0
Copacabana;2;0;0;90;2350.0;964.0;106.0
Barra da Tijuca;3;2;1;80;2350.0;1187.0;175.0
Tijuca;2;0;0;75;1400.0;650.0;68.0
Recreio dos Bandeirantes;3;1;1;82;2300.0;700.0;1491.0
Praça Seca;2;1;1;79;1500.0;580.0;78.0
Méier;2;1;0;75;1500.0;560.0;0.0
Barra da Tijuca;2;1;2;95;2150.0;2448.0;435.0
Tijuca;3;0;1;80;1800.0;650.0;1150.0
Barra da Tijuca;2;1;1;80;2200.0;1200.0;250.0
Olaria;2;1;0;74;1000.0;506.0;0.0
Barra da Tijuca;3;2;1;100;2800.0;1500.0;250.0
Barra da Tijuca;2;1;1;75;2450.0;1250.0;194.0
Recreio dos Bandeirantes;3;2;2;95;1500.0;726.0;0.0
Botafogo;3;1;1;120;2500.0;1200.0;200.0
Jardim Guanabara;3;1;1;110;2800.0;550.0;180.0
Grajaú;2;1;0;75;1200.0;791.0;0.0
Tijuca;2;1;1;81;1500.0;880.0;65.0
Botafogo;2;1;1;75;2200.0;1320.0;164.0
Recreio dos Bandeirantes;2;2;1;100;2300.0;560.0;230.0
Freguesia (Jacarepaguá);2;1;0;79;1500.0;670.0;836.0
Barra da Tijuca;3;2;1;95;2300.0;850.0;192.0
Barra da Tijuca;2;1;1;81;2700.0;1307.0;233.0
Tijuca;3;0;0;80;1850.0;590.0;100.0
Barra da Tijuca;2;1;1;78;2800.0;1050.0;0.0
Tijuca;3;1;0;80;1800.0;850.0;90.0
Ilha do Governador;3;2;1;118;2500.0;470.0;200.0
Tijuca;2;0;0;71;1300.0;595.0;53.0
Recreio dos Bandeirantes;3;2;1;100;2400.0;632.0;272.0
Campo Grande;3;1;1;120;1800.0;750.0;0.0
Barra da Tijuca;3;3;1;84;2200.0;1100.0;1923.0
Recreio dos Bandeirantes;4;2;3;280;1800.0;1400.0;580.0
Méier;2;1;0;80;1400.0;550.0;35.0
Barra da Tijuca;2;1;1;78;2500.0;1200.0;75.0
Copacabana;3;0;1;100;2900.0;890.0;0.0
Tijuca;2;0;0;90;1500.0;480.0;0.0
Vaz Lobo;3;1;1;85;1300.0;300.0;0.0
Barra da Tijuca;2;1;1;101;1500.0;2305.0;305.0
Recreio dos Bandeirantes;4;3;2;250;1500.0;1380.0;700.0
Laranjeiras;2;1;0;105;2800.0;815.0;150.0
Freguesia (Jacarepaguá);2;1;1;76;1500.0;831.0;76.0
Barra da Tijuca;2;1;1;85;2300.0;1175.0;208.0
Recreio dos Bandeirantes;3;1;1;78;1500.0;770.0;108.0
Campo Grande;3;1;1;95;1200.0;900.0;0.0
Botafogo;3;0;0;78;2750.0;410.0;122.0
Recreio dos Bandeirantes;2;1;1;110;1500.0;674.0;0.0
Lagoa;2;0;2;82;2500.0;1060.0;0.0
Tijuca;2;1;1;75;1800.0;670.0;50.0
Barra da Tijuca;3;1;1;95;2000.0;1400.0;0.0
Tijuca;3;1;1;100;1600.0;320.0;90.0
Barra da Tijuca;3;1;1;90;2600.0;1200.0;0.0
Bento Ribeiro;4;2;1;144;2200.0;475.0;100.0
Recreio dos Bandeirantes;2;2;2;85;2200.0;1250.0;140.0
Recreio dos Bandeirantes;2;2;1;197;1800.0;750.0;393.0
Botafogo;3;1;1;81;2800.0;880.0;188.0
Tijuca;2;2;1;90;2000.0;1100.0;0.0
Barra da Tijuca;2;1;2;90;2600.0;1300.0;0.0
Campo Grande;2;1;0;74;800.0;600.0;0.0
Recreio dos Bandeirantes;3;2;1;90;1850.0;1245.0;135.0
Glória;2;0;0;85;2000.0;801.0;103.0
Flamengo;2;0;0;75;2500.0;550.0;0.0
Copacabana;2;0;0;79;2700.0;830.0;135.0
Tijuca;2;1;1;75;1800.0;620.0;150.0
Barra da Tijuca;2;1;1;72;2500.0;1000.0;0.0
Copacabana;2;0;0;72;2200.0;758.0;0.0
Vila Isabel;2;1;0;75;1800.0;250.0;20.0
